USN,SEMESTER,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS
1CR23IS137,6,BCS602,Machine Learning,24,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,19,,,BET654A,TRES(OE),48,,
1CR23IS138,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,31,,,BET654A,TRES(OE),50,,
1CR23IS139,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),48,,
1CR23IS140,6,BCS602,Machine Learning,48,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,46,,,BET654A,TRES(OE),48,,
1CR23IS141,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,48,,,BET654A,TRES(OE),50,,
1CR23IS142,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,18,,,BET654A,TRES(OE),41,,
1CR23IS143,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,21,,,BET654A,TRES(OE),38,,
1CR23IS144,6,BCS602,Machine Learning,22,,,BIS601,Full Stack Development,35,,,BIS613D ,CCS,26,,,BET654A,TRES(OE),39,,
1CR23IS145,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,45,,,BIS613D ,CCS,27,,,BET654A,TRES(OE),47,,
1CR23IS146,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,26,,,BET654A,TRES(OE),50,,
1CR23IS147,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,35,,,BET654A,TRES(OE),46,,
1CR23IS148,6,BCS602,Machine Learning,45,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),47,,
1CR23IS149,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),ABSENT,,
1CR23IS151,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),ABSENT,,
1CR23IS152,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),ABSENT,,
1CR23IS153,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),40,,
1CR23IS154,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,35,,,BET654A,TRES(OE),48,,
1CR23IS155,6,BCS602,Machine Learning,46,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),43,,
1CR23IS156,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,10,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),ABSENT,,
1CR23IS158,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,41,,,BIS613D ,CCS,24,,,BET654A,TRES(OE),45,,
1CR23IS159,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,20,,,BET654A,TRES(OE),40,,
1CR23IS160,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,30,,,BET654A,TRES(OE),49,,
1CR23IS161,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),45,,
1CR23IS162,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),39,,
1CR23IS163,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,30,,,BET654A,TRES(OE),44,,
1CR23IS164,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,17,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),45,,
1CR23IS165,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),45,,
